event_id,process,sample,is_data,m_gammagamma,diphoton_ti,diphoton_region,channel,n_leptons,partition,event_weight_signed,observed_data_weight,n_jets,n_central_jets,n_forward_jets,n_bjets,leading_jet_pt,subleading_jet_pt,ht_jets,training_role,nti_proxy_weight,significance_model_weight_36fb,label,physical_training_weight,bdt_fit_weight
data:310634:4422460331:2:44210,data,data,True,116.4533147744416,False,NTI,hadronic,0,validation,1.0,1.0,3,3,0,1,68.8780288696289,30.266319274902344,126.30709457397461,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4433887313:2:44215,data,data,True,136.24143620929266,False,NTI,hadronic,0,validation,1.0,1.0,4,4,0,1,64.79154205322266,61.646236419677734,228.44640350341797,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4458499960:2:44223,data,data,True,149.3102439637998,False,NTI,hadronic,0,validation,1.0,1.0,4,4,0,1,210.28932189941406,85.44493103027344,378.3018341064453,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4486068460:2:44238,data,data,True,110.08025884237756,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,97.92347717285156,88.8663101196289,240.54639625549316,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4505067044:2:44246,data,data,True,107.05769972691292,False,NTI,hadronic,0,train,1.0,1.0,5,5,0,1,80.36848449707031,60.19853591918945,239.85120391845703,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4507123245:2:44247,data,data,True,130.72804269769836,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,96.18521118164062,87.49500274658203,238.81764793395996,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4524495060:2:44259,data,data,True,110.91779202226294,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,45.80461120605469,38.41754913330078,117.66473770141602,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4523611430:2:44260,data,data,True,146.44172331386127,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,2,51.210269927978516,35.68701171875,112.99333953857422,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4533661367:2:44263,data,data,True,156.57090540813252,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,80.09756469726562,69.95709228515625,182.92217636108398,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4547002698:2:44268,data,data,True,153.54715156291286,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,2,153.7610321044922,46.941184997558594,232.34881019592285,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4548045947:2:44269,data,data,True,130.58501878189975,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,66.69451904296875,58.873680114746094,208.64501953125,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310634:4548914564:2:44272,data,data,True,153.18177306934356,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,45.14973068237305,27.113304138183594,98.71774864196777,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1496727895:2:44307,data,data,True,107.60751735657202,False,NTI,hadronic,0,validation,1.0,1.0,5,5,0,1,140.26055908203125,89.43124389648438,345.5641860961914,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1503508277:2:44313,data,data,True,105.50127303364823,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,94.33876037597656,92.2742919921875,219.7945556640625,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1514144574:2:44318,data,data,True,139.8136650011948,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,165.29153442382812,30.866689682006836,221.2671070098877,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1518492033:2:44319,data,data,True,110.73364341806702,False,NTI,hadronic,0,validation,1.0,1.0,4,4,0,1,84.72563171386719,64.73567199707031,243.11095428466797,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1525303844:2:44330,data,data,True,107.21174518860424,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,136.87205505371094,135.9991912841797,300.9803066253662,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1542864576:2:44343,data,data,True,149.13258561863194,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,85.16871643066406,82.98043823242188,219.16415786743164,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310969:1558718152:2:44354,data,data,True,149.52769765439137,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,76.64907836914062,74.88658905029297,260.23034286499023,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:1977626937:2:44372,data,data,True,113.16332569749552,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,135.86270141601562,105.38555145263672,339.5163040161133,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:1993377698:2:44386,data,data,True,108.92966935129076,False,NTI,hadronic,0,validation,1.0,1.0,3,3,0,1,49.08399963378906,39.388755798339844,124.85307693481445,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:1997235642:2:44387,data,data,True,157.760953723399,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,101.70539855957031,71.02767944335938,206.23778533935547,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2005590729:2:44399,data,data,True,141.86948228779838,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,2,74.32669830322266,53.835540771484375,156.5705280303955,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2006018942:2:44400,data,data,True,107.03200896700437,False,NTI,hadronic,0,test,1.0,1.0,5,5,0,1,161.5757598876953,128.56100463867188,462.93047523498535,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2006343710:2:44401,data,data,True,109.69014408407821,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,91.56840515136719,57.141197204589844,186.81621932983398,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2018653489:2:44405,data,data,True,149.42655779750717,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,59.17680740356445,57.77790451049805,163.90936279296875,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2033220442:2:44413,data,data,True,108.24043677219866,False,NTI,hadronic,0,validation,1.0,1.0,3,3,0,1,129.21971130371094,49.0899543762207,220.09315490722656,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2040708656:2:44420,data,data,True,107.59567957303963,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,59.14652633666992,54.81491470336914,163.34187698364258,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2041989597:2:44421,data,data,True,152.1334595153107,False,NTI,hadronic,0,test,1.0,1.0,4,4,0,1,95.87683868408203,86.37190246582031,254.5280990600586,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2051516372:2:44431,data,data,True,116.6980142881622,False,NTI,hadronic,0,test,1.0,1.0,6,6,0,2,164.35638427734375,100.9449462890625,457.0748062133789,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2054819890:2:44432,data,data,True,131.09413080112586,False,NTI,hadronic,0,train,1.0,1.0,6,6,0,1,59.260990142822266,49.34747314453125,256.3217525482178,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2057710317:2:44436,data,data,True,118.19538585196678,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,152.5557403564453,38.902549743652344,226.23713302612305,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2066651804:2:44440,data,data,True,112.76195379073462,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,38.2412223815918,33.95747756958008,102.26673889160156,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2089729136:2:44455,data,data,True,133.0763977272902,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,2,68.82390594482422,35.16231155395508,132.4910945892334,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2154321949:2:44506,data,data,True,110.11480558333538,False,NTI,hadronic,0,validation,1.0,1.0,3,3,0,1,41.357818603515625,33.6925163269043,106.92550468444824,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:310341:2157775445:2:44507,data,data,True,145.14002021394333,False,NTI,hadronic,0,validation,1.0,1.0,3,3,0,1,233.13279724121094,27.518653869628906,286.11943435668945,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1269292034:2:44511,data,data,True,113.69945569549101,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,129.42520141601562,78.9056625366211,254.80817031860352,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1274851134:2:44518,data,data,True,106.75366286291036,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,65.2559814453125,63.03561019897461,194.7253875732422,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1277313419:2:44519,data,data,True,130.01373652131545,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,89.98238372802734,43.398441314697266,176.33197021484375,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1293266527:2:44534,data,data,True,143.2037839608395,False,NTI,hadronic,0,validation,1.0,1.0,5,5,0,1,112.98902130126953,67.65751647949219,283.802188873291,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1331277701:2:44565,data,data,True,151.61423232878587,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,67.32185363769531,49.23524856567383,143.4037570953369,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1346058275:2:44574,data,data,True,159.11515227330528,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,64.53471374511719,40.15333938598633,168.72774505615234,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1387485832:2:44588,data,data,True,108.43118418899196,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,76.19902801513672,38.916507720947266,148.4413948059082,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1392836744:2:44591,data,data,True,146.44403737865917,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,118.06320190429688,79.33969116210938,249.41613006591797,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1395113361:2:44592,data,data,True,144.91074837417875,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,1,91.74197387695312,58.862884521484375,212.3023509979248,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1401727699:2:44601,data,data,True,134.63192861391636,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,140.52037048339844,102.99311828613281,306.22803497314453,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1411637871:2:44613,data,data,True,148.22892054064673,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,105.43286895751953,43.526466369628906,178.16249465942383,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1415533102:2:44615,data,data,True,108.6451612417004,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,58.32484436035156,44.601783752441406,142.0722885131836,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1424935673:2:44618,data,data,True,154.6030453409186,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,36.67063903808594,29.925846099853516,94.28487014770508,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311170:1441407035:2:44634,data,data,True,133.4767068163379,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,55.22401428222656,33.26972579956055,120.92322158813477,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:128800815:2:44641,data,data,True,133.51924263764107,False,NTI,hadronic,0,train,1.0,1.0,6,6,0,1,118.13163757324219,94.88552856445312,378.1506748199463,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:157073256:2:44648,data,data,True,153.4202971811181,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,186.77706909179688,64.25428009033203,296.90189361572266,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:176543716:2:44657,data,data,True,131.90646552484128,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,156.53514099121094,100.17328643798828,329.64862060546875,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:184633924:2:44661,data,data,True,151.9396580510089,False,NTI,hadronic,0,validation,1.0,1.0,4,4,0,1,97.93086242675781,34.171695709228516,191.2995548248291,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:239421363:2:44671,data,data,True,114.80440306255448,False,NTI,hadronic,0,train,1.0,1.0,4,4,0,2,110.48424530029297,50.749549865722656,249.1126708984375,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311287:239147160:2:44673,data,data,True,111.94719955905636,False,NTI,hadronic,0,test,1.0,1.0,3,3,0,1,87.3641586303711,79.94456481933594,193.43090438842773,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311244:377523539:2:44676,data,data,True,116.84309602041465,False,NTI,hadronic,0,test,1.0,1.0,4,4,0,1,92.02640533447266,73.98313903808594,228.28223037719727,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311244:381494753:2:44678,data,data,True,113.53138050910442,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,28.149080276489258,26.956050872802734,81.79686164855957,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311244:391304479:2:44686,data,data,True,155.3026106282191,False,NTI,hadronic,0,train,1.0,1.0,5,5,0,1,47.502525329589844,46.992374420166016,188.9741668701172,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
data:311244:404033716:2:44691,data,data,True,118.17276631668882,False,NTI,hadronic,0,train,1.0,1.0,3,3,0,1,50.73538589477539,37.63785934448242,116.32157707214355,background_ggH_or_NTI,0.0024767111111111107,0.0024767111111111107,0,0.0024767111111111107,0.0024767111111111107
