event_id,run_number,event_number,sample,process,is_data,is_signal,m_gammagamma,diphoton_ti,diphoton_nti,photon1_pt,photon2_pt,n_leptons,n_jets,n_central_jets,n_forward_jets,n_bjets,ht_jets,leading_jet_pt,min_dr_gam_jet,passes_hadronic_preselection,preselection_channel,sm_mc_weight_36fb,event_weight,observed_data_weight,partition,nti_continuum_proxy_weight,significance_model_weight_36fb,training_role,target,mixture_weight,bdt_fit_weight,bdt_score
284500:3325147:ggH,284500,3325147,ggH,ggH,False,False,123.495316,True,False,128.96059,88.29319,0,3,3,0,1,137.15039,53.91163,1.6934925,True,hadronic,0.02019405826054581,0.02019405826054581,0.0,train,0.0,0.02019405826054581,background_resonant_ggH,0,0.02019405826054581,0.0002320865981355708,0.3710165054160368
284500:846075:ggH,284500,846075,ggH,ggH,False,False,125.131325,True,False,112.58987,58.590637,0,3,3,0,2,174.26132,102.19717,0.77755636,True,hadronic,0.022930745055881205,0.022930745055881205,0.0,train,0.0,0.022930745055881205,background_resonant_ggH,0,0.022930745055881205,0.00026353883622942887,0.45537971152003115
284500:3332075:ggH,284500,3332075,ggH,ggH,False,False,125.03269,True,False,109.22292,36.037655,0,3,3,0,1,404.1925,176.58,1.2559829,True,hadronic,0.02163945015618413,0.02163945015618413,0.0,train,0.0,0.02163945015618413,background_resonant_ggH,0,0.02163945015618413,0.00024869822140135184,0.4707569837730021
284500:846600:ggH,284500,846600,ggH,ggH,False,False,125.46001,True,False,95.21858,71.284744,0,3,3,0,1,447.24323,228.33612,1.1444434,True,hadronic,0.020034177028840777,0.020034177028840777,0.0,train,0.0,0.020034177028840777,background_resonant_ggH,0,0.020034177028840777,0.0002302491125398873,0.4435849815647528
284500:4172334:ggH,284500,4172334,ggH,ggH,False,False,125.05609,True,False,122.51791,93.07989,0,3,3,0,1,173.55214,65.935295,2.4158416,True,hadronic,0.02070154156815503,0.02070154156815503,0.0,train,0.0,0.02070154156815503,background_resonant_ggH,0,0.02070154156815503,0.00023791901046963464,0.3710165054160368
284500:4165069:ggH,284500,4165069,ggH,ggH,False,False,125.28324,True,False,125.77732,75.36912,0,3,3,0,1,274.26154,172.13025,1.78186,True,hadronic,0.01984234194445873,0.01984234194445873,0.0,train,0.0,0.01984234194445873,background_resonant_ggH,0,0.01984234194445873,0.00022804438719132943,0.4707569837730021
284500:4168440:ggH,284500,4168440,ggH,ggH,False,False,124.19604,True,False,101.40633,60.908512,0,3,3,0,1,230.66957,132.56578,1.940094,True,hadronic,0.025247765058733003,0.025247765058733003,0.0,train,0.0,0.025247765058733003,background_resonant_ggH,0,0.025247765058733003,0.00029016792104912426,0.4311088377379309
284500:4195643:ggH,284500,4195643,ggH,ggH,False,False,125.21742,True,False,90.78788,62.3312,0,4,4,0,1,132.90709,45.8236,1.4563981,True,hadronic,0.02038253905993798,0.02038253905993798,0.0,train,0.0,0.02038253905993798,background_resonant_ggH,0,0.02038253905993798,0.00023425277330355404,0.40559605765934914
284500:906899:ggH,284500,906899,ggH,ggH,False,False,125.465385,True,False,115.89756,77.96583,0,3,3,0,1,215.313,108.56143,3.356876,True,hadronic,0.02161049800740431,0.02161049800740431,0.0,train,0.0,0.02161049800740431,background_resonant_ggH,0,0.02161049800740431,0.00024836547967938943,0.40628608251361975
284500:912864:ggH,284500,912864,ggH,ggH,False,False,124.65023,True,False,76.14561,65.04175,0,4,4,0,1,185.83772,67.6038,1.5556564,True,hadronic,0.01953889588580411,0.01953889588580411,0.0,train,0.0,0.01953889588580411,background_resonant_ggH,0,0.01953889588580411,0.0002245569374394194,0.4145738231284889
284500:943003:ggH,284500,943003,ggH,ggH,False,False,124.07307,True,False,133.8945,111.57355,0,4,4,0,1,249.24861,135.20856,2.2805972,True,hadronic,0.01853384918727449,0.01853384918727449,0.0,train,0.0,0.01853384918727449,background_resonant_ggH,0,0.01853384918727449,0.00021300612054963878,0.48225028427655864
284500:943502:ggH,284500,943502,ggH,ggH,False,False,124.28543,True,False,216.6636,51.575497,0,4,4,0,1,296.51733,116.397995,1.5555086,True,hadronic,0.019165755503726994,0.019165755503726994,0.0,train,0.0,0.019165755503726994,background_resonant_ggH,0,0.019165755503726994,0.00022026850364439157,0.6322986438744095
284500:943880:ggH,284500,943880,ggH,ggH,False,False,124.561165,True,False,88.49457,42.813698,0,3,3,0,1,89.884735,35.3818,0.69969153,True,hadronic,0.021938939206764752,0.021938939206764752,0.0,train,0.0,0.021938939206764752,background_resonant_ggH,0,0.021938939206764752,0.0002521401939871153,0.3710165054160368
284500:947455:ggH,284500,947455,ggH,ggH,False,False,124.402824,True,False,165.94543,52.523434,0,4,4,0,2,228.18,120.014626,1.8956147,True,hadronic,0.030173677886954266,0.030173677886954266,0.0,train,0.0,0.030173677886954266,background_resonant_ggH,0,0.030173677886954266,0.00034678053136568684,0.6074714935465754
284500:947189:ggH,284500,947189,ggH,ggH,False,False,125.54329,True,False,173.4826,114.340546,0,3,3,0,1,382.94012,207.53564,1.737699,True,hadronic,0.022604812423349132,0.022604812423349132,0.0,train,0.0,0.022604812423349132,background_resonant_ggH,0,0.022604812423349132,0.00025979295241896516,0.4435849815647528
284500:1102934:ggH,284500,1102934,ggH,ggH,False,False,126.17541,True,False,80.895645,65.287,0,4,4,0,1,241.39235,95.06744,0.648428,True,hadronic,0.020146759983422916,0.020146759983422916,0.0,train,0.0,0.020146759983422916,background_resonant_ggH,0,0.020146759983422916,0.00023154300773420142,0.5887406546675507
284500:1112886:ggH,284500,1112886,ggH,ggH,False,False,125.91427,True,False,81.56037,78.55527,0,3,3,0,1,96.72016,39.492733,2.068887,True,hadronic,0.019770520222956712,0.019770520222956712,0.0,train,0.0,0.019770520222956712,background_resonant_ggH,0,0.019770520222956712,0.00022721895335328754,0.3710165054160368
284500:1104708:ggH,284500,1104708,ggH,ggH,False,False,125.89858,True,False,91.34118,42.803574,0,3,3,0,1,136.2377,56.291027,1.557293,True,hadronic,0.01896835773791642,0.01896835773791642,0.0,train,0.0,0.01896835773791642,background_resonant_ggH,0,0.01896835773791642,0.00021799984742108821,0.3710165054160368
284500:1106925:ggH,284500,1106925,ggH,ggH,False,False,123.97725,True,False,160.36745,64.25002,0,3,3,0,1,209.931,113.45588,2.217637,True,hadronic,0.01268359737848318,0.01268359737848318,0.0,train,0.0,0.01268359737848318,background_resonant_ggH,0,0.01268359737848318,0.0001457702523045926,0.38593984205050824
284500:1108038:ggH,284500,1108038,ggH,ggH,False,False,124.520744,True,False,176.41266,71.64101,0,5,5,0,1,374.6952,140.47148,1.6369969,True,hadronic,0.02000562034263789,0.02000562034263789,0.0,train,0.0,0.02000562034263789,background_resonant_ggH,0,0.02000562034263789,0.00022992091579660058,0.6344022378539207
