event_id,sample,process,process_role,m_gammagamma,n_electrons,n_muons,n_leptons,n_jets,n_jets_central,n_jets_forward,n_bjets,n_bjets_central,ht_jets,lead_jet_pt,sublead_jet_pt,met,pt_gg,delta_r_gg,photon_ti,partition,bdt_score,category,significance_model_weight_36fb
ttH|346525|284500|708737,ttH,ttH,signal_top,125.13467971895354,0,0,0,4,4,0,1,1,259.4986171722412,112.38179779052734,78.33412170410156,100.02618408203125,292.4396330236948,0.9222172454601842,False,train,0.946769617610023,ttH_had_BDT1,0.0
ttH|346525|284500|708034,ttH,ttH,signal_top,124.48480812768074,0,0,0,6,6,0,1,1,413.05047607421875,119.60277557373047,96.8289566040039,13.285598754882812,210.36541789301464,1.2686366861888003,True,train,0.899007800052971,ttH_had_BDT1,0.00032684077699750774
ttH|346525|284500|1747341,ttH,ttH,signal_top,125.06395833457007,0,0,0,3,3,0,1,1,204.33536911010742,114.74317932128906,48.43063735961914,16.063995361328125,192.85991287001602,1.2091621342070535,False,train,0.4174321481546051,ttH_had_BDT3,0.0
ttH|346525|284500|1747683,ttH,ttH,signal_top,124.8624989405356,0,0,0,5,5,0,1,1,250.1963882446289,74.67041778564453,71.51224517822266,53.86692428588867,40.49838168318555,2.847895865267291,False,train,0.5274007633028172,ttH_had_BDT3,0.0
ttH|346525|284500|1747953,ttH,ttH,signal_top,123.76135780243912,0,0,0,6,6,0,1,1,495.1516532897949,196.53253173828125,129.8117218017578,53.63908767700195,105.34388822102399,1.9738172310642956,True,train,0.8437546721302961,ttH_had_BDT2,0.00032720980451420896
ttH|346525|284500|1748447,ttH,ttH,signal_top,123.27176391607043,0,0,0,4,4,0,1,1,127.29825973510742,38.64720153808594,33.15251159667969,27.382505416870117,50.84765636714727,2.6904419493923553,False,train,0.09100918891391631,tH_had_4j1b,0.0
ttH|346525|284500|1748928,ttH,ttH,signal_top,123.84840431131664,0,0,0,3,3,0,2,2,191.39842987060547,77.48823547363281,60.691776275634766,69.97264099121094,174.17746387328418,1.527693356968548,True,train,0.8383515262912631,ttH_had_BDT2,2.8049750068348574e-08
ttH|346525|284500|1748244,ttH,ttH,signal_top,126.54942906256997,0,0,0,8,8,0,1,1,437.49402236938477,109.57748413085938,61.69892120361328,40.90205764770508,206.61047785419376,1.1093293205887538,True,train,0.9317799310028378,ttH_had_BDT1,0.00036480901481884684
ttH|346525|284500|1748371,ttH,ttH,signal_top,124.98512949944458,0,0,0,3,3,0,1,1,198.1070327758789,112.1539306640625,50.73191833496094,45.74106979370117,126.6639133480221,1.7351917849836682,True,train,0.48114946907865697,ttH_had_BDT3,0.0003422982277722481
ttH|346525|284500|1748077,ttH,ttH,signal_top,124.09247162104049,0,0,0,4,4,0,1,1,266.58998107910156,137.6590576171875,56.391990661621094,72.34428405761719,129.62805285202808,1.7142140753185917,True,test,0.7353369026454045,ttH_had_BDT2,0.00039697547832763974
